year,month,Date,Deficit,Potential_Evap,Prec_m_PE,Precipitation,Storage,Surplus,Evaporation,Prec_m_Evap,Recharge,Snowpack
1915,1,1915-01-15,0,0,1.9,19.4,25.3,0,0,19.4,1.9000000000000021,17.499999999999996
1915,2,1915-02-15,0,0,4.4,44.4,29.8,0,0,44.4,4.5,39.9
1915,3,1915-03-15,0,0,2.9,28.7,32.7,0,0,28.7,2.900000000000002,25.799999999999997
1915,4,1915-04-15,0,59.9,106.1,70.4,138.7,0,59.9,10.500000000000007,105.99999999999999,0
1915,5,1915-05-15,0,65,41.3,106.3,150,29.999999999999986,65,41.3,11.300000000000011,0
1915,6,1915-06-15,0,102.1,21.1,123.2,150,21.1,102.1,21.10000000000001,0,7.105427357601002e-15
1915,7,1915-07-15,0,119.5,36.6,156.1,150,36.6,119.5,36.599999999999994,0,0
1915,8,1915-08-15,11.6,108.8,-67.8,41,93.8,0,97.2,-56.2,0,0
1915,9,1915-09-15,0.7,76.2,-1.8,74.4,92.6,0,75.5,-1.0999999999999943,0,0
1915,10,1915-10-15,6.2,46.1,-15.7,30.4,83.1,0,39.9,-9.5,0,0
1915,11,1915-11-15,0,6.5,3.5,10,86.6,0,6.5,3.5,3.5,0
1915,12,1915-12-15,0,0,1.2,11.8,87.7,0,0,11.8,1.1000000000000085,10.699999999999992
1916,1,1916-01-15,0,0,2.4,24.5,90.2,0,0,24.5,2.5,22
1916,2,1916-02-15,0,0,0.8,7.6,91,0,0,7.6,0.7999999999999972,6.8000000000000025
1916,3,1916-03-15,0,6.1,57.7,23,148.6,0,6.1,16.9,57.599999999999994,0
1916,4,1916-04-15,0,31,-1.5,29.6,147.1,0,31,-1.3999999999999986,0,0
1916,5,1916-05-15,0,70.2,34.1,104.3,150,31.199999999999996,70.2,34.099999999999994,2.9000000000000057,0
1916,6,1916-06-15,0.9,101.7,-22.7,79,128.2,0,100.8,-21.799999999999997,0,0
1916,7,1916-07-15,40.1,162.2,-107.3,54.9,60.9,0,122.1,-67.19999999999999,0,0
1916,8,1916-08-15,25.9,122.3,-40.9,81.4,45.9,0,96.4,-15,0,0
1916,9,1916-09-15,43.1,78.1,-58.3,19.8,30.6,0,34.99999999999999,-15.199999999999992,0,0
1916,10,1916-10-15,12.4,30.7,-15.5,15.2,27.5,0,18.299999999999997,-3.099999999999998,0,0
1916,11,1916-11-15,0,1,6.1,7.1,33.7,0,1,6.1,6.200000000000003,0
1916,12,1916-12-15,0,0,1.4,14.4,35.1,0,0,14.4,1.3999999999999986,13.000000000000002
1917,1,1917-01-15,0,0,2.7,27.5,37.9,0,0,27.5,2.799999999999997,24.700000000000003
1917,2,1917-02-15,0,0,1.1,10.7,38.9,0,0,10.7,1,9.7
1917,3,1917-03-15,0,0,2.7,27.4,41.7,0,0,27.4,2.8000000000000043,24.599999999999994
1917,4,1917-04-15,0,24,108.1,58.7,149.8,0,24,34.7,108.10000000000001,0
